Vulnerability Type,Description,Severity,Exploitability
Access Control,Exploited weak access control rules in API endpoints.,High,High
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",Low,Medium
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,High,Medium
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,Low,Low
Dynamic Analysis,Exploited SQL Injection in user login form.,High,Critical
Input Field Testing,"Injected JavaScript payloads, causing XSS.",Medium,Critical
Static Code Analysis,Found API keys embedded in JavaScript files.,Low,Critical
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Medium,Medium
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,High,Low
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",Medium,High
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,Medium,Medium
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Critical,Critical
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,Critical,Low
Static Code Analysis,Improper input validation leading to potential code injection.,Critical,Medium
XSS Testing,Injected script that executed on multiple user sessions.,High,Medium
Password Security,"No password complexity enforcement, allowing dictionary attacks.",High,Critical
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Critical,Critical
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,High,Medium
Input Field Testing,Tested for buffer overflow by entering large payloads.,Medium,Low
Input Field Testing,"Injected JavaScript payloads, causing XSS.",Low,Critical
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,Low,Critical
Automated Scanning,Found insecure HTTP methods enabled.,High,Low
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Medium,High
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,Medium,Critical
Reconnaissance,Found outdated software versions during recon phase.,Low,High
Automated Scanning,Detected open ports with vulnerable services exposed.,Medium,Critical
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,Low,High
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Low,Low
Static Code Analysis,Improper input validation leading to potential code injection.,Low,High
XSS Testing,Injected script that executed on multiple user sessions.,Low,High
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Low,Critical
Input Field Testing,"Injected JavaScript payloads, causing XSS.",Critical,Low
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,Critical,Medium
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,Medium,High
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,Critical,Medium
Static Code Analysis,Improper input validation leading to potential code injection.,Low,High
Reconnaissance,Gathered sensitive information such as server details and CMS version.,Low,High
Dynamic Analysis,Exploited SQL Injection in user login form.,Medium,Critical
Password Security,"No password complexity enforcement, allowing dictionary attacks.",Low,Low
Static Code Analysis,Improper input validation leading to potential code injection.,Critical,Low
Password Security,Weak password policy allowing easily guessable passwords.,Medium,Medium
Access Control,Bypassed access control to access restricted admin resources.,High,Low
Password Security,Passwords stored using weak hashing algorithm.,Medium,Critical
Session Management,Reused session ID for unauthorized access.,High,Low
Reconnaissance,Gathered sensitive information such as server details and CMS version.,Medium,High
Access Control,Unauthorized users could access privileged actions.,Low,High
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Medium,High
Input Field Testing,Tested for buffer overflow by entering large payloads.,Low,Low
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,Low,Medium
Database Vulnerabilities,Discovered exposed database query logs.,Critical,Medium
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,Critical,High
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,Critical,High
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Critical,High
Static Code Analysis,Discovered weak encryption algorithm in use.,Critical,Critical
Static Code Analysis,Discovered weak encryption algorithm in use.,Medium,Low
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,High,Low
Reconnaissance,Gathered sensitive information such as server details and CMS version.,High,Low
Access Control,Unauthorized users could access privileged actions.,Medium,Critical
Automated Scanning,Found insecure HTTP methods enabled.,Medium,Low
Database Vulnerabilities,Detected default admin credentials in database configuration.,Low,High
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,Medium,High
Session Management,Session did not expire properly after logout.,Critical,High
Access Control,Bypassed access control to access restricted admin resources.,High,Medium
Dynamic Analysis,Exploited SQL Injection in user login form.,Medium,Critical
Access Control,Unauthorized users could access privileged actions.,High,Medium
Dynamic Analysis,Performed a successful SSRF attack to access internal resources.,Low,Low
Dynamic Analysis,Performed a successful SSRF attack to access internal resources.,High,High
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,Medium,Critical
Static Code Analysis,Found API keys embedded in JavaScript files.,Critical,Critical
Session Management,Session did not expire properly after logout.,Low,Low
Automated Scanning,Found insecure HTTP methods enabled.,High,Medium
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Critical,Critical
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Medium,High
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,High,Medium
Static Code Analysis,Found API keys embedded in JavaScript files.,Medium,Low
Automated Scanning,Detected open ports with vulnerable services exposed.,Low,Low
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,Medium,High
Session Management,Session fixation vulnerability found in login mechanism.,Medium,Low
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Low,High
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,High,Low
Automated Scanning,Detected open ports with vulnerable services exposed.,Critical,High
Database Vulnerabilities,Discovered exposed database query logs.,Medium,Critical
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,High,Low
Reconnaissance,Detected subdomains hosting vulnerable services.,Low,Medium
Input Field Testing,Tested for buffer overflow by entering large payloads.,Low,Critical
Automated Scanning,Found insecure HTTP methods enabled.,Low,Medium
Automated Scanning,Found insecure HTTP methods enabled.,Low,Medium
Session Management,Session did not expire properly after logout.,Low,Medium
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,Medium,Low
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,Low,Critical
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Low,Medium
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Critical,Medium
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,High,Critical
XSS Testing,Injected script that executed on multiple user sessions.,Low,High
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,High,High
Dynamic Analysis,Performed a successful SSRF attack to access internal resources.,High,Low
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Medium,High
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,Medium,Critical
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,High,Critical
Session Management,Session fixation vulnerability found in login mechanism.,Low,Low
Automated Scanning,Detected open ports with vulnerable services exposed.,Low,Medium
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,Medium,High
Reconnaissance,Detected subdomains hosting vulnerable services.,Critical,High
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Medium,High
Access Control,Unauthorized users could access privileged actions.,Low,Low
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Medium,Low
Input Field Testing,"Injected JavaScript payloads, causing XSS.",Medium,Critical
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,High,Medium
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Critical,Low
Access Control,Exploited weak access control rules in API endpoints.,Medium,Low
Static Code Analysis,Found API keys embedded in JavaScript files.,High,High
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Low,High
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,Critical,Low
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Low,Medium
Static Code Analysis,Improper input validation leading to potential code injection.,Critical,Critical
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Critical,High
Reconnaissance,Gathered sensitive information such as server details and CMS version.,High,Low
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,Low,High
Dynamic Analysis,Exploited SQL Injection in user login form.,Critical,Critical
Automated Scanning,Detected open ports with vulnerable services exposed.,Low,High
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,Low,Medium
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",Medium,Critical
Static Code Analysis,Detected hardcoded credentials in the source code.,Medium,Critical
Session Management,Reused session ID for unauthorized access.,Critical,High
Password Security,Weak password policy allowing easily guessable passwords.,Low,Medium
Dynamic Analysis,Exploited SQL Injection in user login form.,Low,Medium
Database Vulnerabilities,Discovered exposed database query logs.,Medium,Medium
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Critical,Low
Input Field Testing,"Injected JavaScript payloads, causing XSS.",Low,Critical
Session Management,Session fixation vulnerability found in login mechanism.,Critical,Low
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,Critical,High
Database Vulnerabilities,Discovered exposed database query logs.,Medium,High
Input Field Testing,Tested for buffer overflow by entering large payloads.,Low,Medium
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Medium,Low
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,High,Medium
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Low,Medium
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,High,Low
Access Control,Bypassed access control to access restricted admin resources.,High,High
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Critical,High
Access Control,Unauthorized users could access privileged actions.,Low,Medium
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",Critical,Critical
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Critical,High
Static Code Analysis,Discovered weak encryption algorithm in use.,Critical,Medium
Reconnaissance,Detected subdomains hosting vulnerable services.,Low,Critical
Password Security,Weak password policy allowing easily guessable passwords.,Medium,Medium
Access Control,Exploited weak access control rules in API endpoints.,Critical,Critical
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,Critical,Critical
XSS Testing,Injected script that executed on multiple user sessions.,Critical,Low
Password Security,"No password complexity enforcement, allowing dictionary attacks.",Low,Medium
Automated Scanning,Detected open ports with vulnerable services exposed.,High,Low
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Low,Low
Access Control,Exploited weak access control rules in API endpoints.,Low,Medium
Access Control,Exploited weak access control rules in API endpoints.,Medium,High
Input Field Testing,Tested for buffer overflow by entering large payloads.,High,Critical
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Medium,Critical
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,High,High
Dynamic Analysis,Performed a successful SSRF attack to access internal resources.,Critical,Critical
Static Code Analysis,Discovered weak encryption algorithm in use.,Medium,High
Static Code Analysis,Detected hardcoded credentials in the source code.,Medium,Medium
Password Security,"No password complexity enforcement, allowing dictionary attacks.",Medium,Critical
Access Control,Unauthorized users could access privileged actions.,Critical,Medium
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Low,Medium
Database Vulnerabilities,Discovered exposed database query logs.,Medium,Critical
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,High,High
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,High,Low
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,High,Low
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,High,Low
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,Medium,High
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",Low,High
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,High,Medium
Static Code Analysis,Improper input validation leading to potential code injection.,High,High
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,High,Medium
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,High,Low
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,High,High
Input Field Testing,Tested for buffer overflow by entering large payloads.,Critical,High
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,High,Critical
XSS Testing,Injected script that executed on multiple user sessions.,Medium,High
Session Management,Reused session ID for unauthorized access.,Critical,High
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Low,Low
Session Management,Session did not expire properly after logout.,Critical,Critical
Session Management,Reused session ID for unauthorized access.,High,Low
Session Management,Reused session ID for unauthorized access.,Low,Critical
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,Low,Critical
Session Management,Reused session ID for unauthorized access.,High,Low
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,Critical,Critical
Automated Scanning,Found insecure HTTP methods enabled.,Medium,Critical
Database Vulnerabilities,Detected default admin credentials in database configuration.,Medium,Low
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,High,Low
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Medium,High
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,High,Low
Reconnaissance,Detected subdomains hosting vulnerable services.,High,Low
Reconnaissance,Detected subdomains hosting vulnerable services.,Medium,High
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Critical,Medium
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Critical,Critical
Reconnaissance,Found outdated software versions during recon phase.,Critical,Medium
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,High,Medium
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,Critical,Critical
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,Low,High
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,Critical,Critical
Password Security,Weak password policy allowing easily guessable passwords.,Critical,High
Input Field Testing,Bypassed client-side validation using web proxies.,Medium,Critical
Access Control,Unauthorized users could access privileged actions.,High,Critical
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,High,Critical
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Critical,High
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Low,Low
Static Code Analysis,Found API keys embedded in JavaScript files.,Low,Medium
Session Management,Session fixation vulnerability found in login mechanism.,High,Medium
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,Critical,Critical
Static Code Analysis,Found API keys embedded in JavaScript files.,Critical,Low
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,Low,Critical
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Low,Low
Reconnaissance,Detected subdomains hosting vulnerable services.,Critical,Low
XSS Testing,Injected script that executed on multiple user sessions.,Critical,Low
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Medium,Low
Database Vulnerabilities,Detected default admin credentials in database configuration.,High,Critical
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Low,Medium
Dynamic Analysis,Discovered reflected XSS vulnerability.,Low,Critical
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,Medium,Medium
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,Critical,Medium
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,Critical,Critical
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,Critical,Low
Password Security,Weak password policy allowing easily guessable passwords.,Critical,Low
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,Low,Medium
Reconnaissance,Gathered sensitive information such as server details and CMS version.,Medium,Medium
Password Security,Passwords stored using weak hashing algorithm.,High,Medium
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,Low,High
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,Low,Low
Session Management,Session fixation vulnerability found in login mechanism.,Critical,Low
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Critical,Low
Static Code Analysis,Detected hardcoded credentials in the source code.,Medium,Low
Session Management,Session fixation vulnerability found in login mechanism.,High,High
Reconnaissance,Gathered sensitive information such as server details and CMS version.,High,Critical
Static Code Analysis,Improper input validation leading to potential code injection.,Critical,Critical
Input Field Testing,Bypassed client-side validation using web proxies.,Medium,Low
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",Critical,Medium
Access Control,Unauthorized users could access privileged actions.,Medium,Low
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Low,Critical
Password Security,Passwords stored using weak hashing algorithm.,Critical,Low
Reconnaissance,Detected subdomains hosting vulnerable services.,Low,Low
Database Vulnerabilities,Detected default admin credentials in database configuration.,Medium,Critical
Input Field Testing,"Injected JavaScript payloads, causing XSS.",Medium,Critical
Input Field Testing,"Injected JavaScript payloads, causing XSS.",Critical,Low
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Medium,High
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,Critical,Medium
Session Management,Reused session ID for unauthorized access.,Critical,Low
Access Control,Unauthorized users could access privileged actions.,High,Medium
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Critical,Medium
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Medium,Critical
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Critical,Medium
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,Low,Low
Password Security,"No password complexity enforcement, allowing dictionary attacks.",Critical,Medium
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Critical,Low
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,High,Medium
Reconnaissance,Gathered sensitive information such as server details and CMS version.,Critical,Critical
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,High,Low
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,High,Critical
Static Code Analysis,Detected hardcoded credentials in the source code.,Critical,Critical
Reconnaissance,Detected subdomains hosting vulnerable services.,High,High
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,Critical,Critical
Automated Scanning,Found insecure HTTP methods enabled.,High,Medium
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Critical,Medium
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Medium,Low
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,Medium,Low
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,Critical,Low
Automated Scanning,Found insecure HTTP methods enabled.,Critical,Critical
Static Code Analysis,Improper input validation leading to potential code injection.,Critical,High
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Medium,High
Password Security,Passwords stored using weak hashing algorithm.,Low,High
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",Medium,Medium
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Medium,Medium
Dynamic Analysis,Performed a successful SSRF attack to access internal resources.,Critical,Critical
Input Field Testing,"Injected JavaScript payloads, causing XSS.",Medium,High
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Medium,Medium
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Critical,Critical
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,High,Critical
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Critical,Medium
Database Vulnerabilities,Discovered exposed database query logs.,Low,Critical
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,High,Critical
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,High,Medium
Access Control,Exploited weak access control rules in API endpoints.,High,High
Dynamic Analysis,Discovered reflected XSS vulnerability.,Medium,Medium
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Medium,High
Input Field Testing,"Injected JavaScript payloads, causing XSS.",Low,Low
Session Management,Reused session ID for unauthorized access.,Low,High
Static Code Analysis,Detected hardcoded credentials in the source code.,High,Low
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,High,High
Password Security,Passwords stored using weak hashing algorithm.,High,High
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,High,High
Static Code Analysis,Improper input validation leading to potential code injection.,High,Low
Access Control,Unauthorized users could access privileged actions.,High,Critical
Static Code Analysis,Found API keys embedded in JavaScript files.,Medium,Low
Static Code Analysis,Detected hardcoded credentials in the source code.,High,Low
Dynamic Analysis,Exploited SQL Injection in user login form.,High,Low
XSS Testing,Injected script that executed on multiple user sessions.,High,Low
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,Low,Medium
Dynamic Analysis,Discovered reflected XSS vulnerability.,Critical,Critical
Access Control,Exploited weak access control rules in API endpoints.,Medium,Critical
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",Low,Low
Access Control,Exploited weak access control rules in API endpoints.,Medium,High
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,Low,High
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,Low,Medium
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",High,Critical
Input Field Testing,Tested for buffer overflow by entering large payloads.,Medium,Medium
Password Security,Passwords stored using weak hashing algorithm.,Low,High
Automated Scanning,Found insecure HTTP methods enabled.,Medium,Critical
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Critical,Critical
Access Control,Exploited weak access control rules in API endpoints.,Critical,Critical
Database Vulnerabilities,Detected default admin credentials in database configuration.,Critical,High
Database Vulnerabilities,Discovered exposed database query logs.,Medium,Low
Reconnaissance,Found outdated software versions during recon phase.,Low,Low
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Critical,Medium
Static Code Analysis,Discovered weak encryption algorithm in use.,Low,Medium
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",High,High
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",High,Critical
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,Critical,Low
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,High,High
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Medium,High
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Low,High
Static Code Analysis,Found API keys embedded in JavaScript files.,Low,Medium
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",Medium,High
Database Vulnerabilities,Discovered exposed database query logs.,High,High
Automated Scanning,Found insecure HTTP methods enabled.,High,Critical
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,Low,Low
Dynamic Analysis,Performed a successful SSRF attack to access internal resources.,Medium,Medium
Session Management,Session did not expire properly after logout.,Low,High
Password Security,"No password complexity enforcement, allowing dictionary attacks.",Critical,High
XSS Testing,Injected script that executed on multiple user sessions.,Low,Critical
Access Control,Bypassed access control to access restricted admin resources.,Medium,Critical
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",Low,Critical
Automated Scanning,Found insecure HTTP methods enabled.,High,High
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Low,Low
Input Field Testing,Bypassed client-side validation using web proxies.,High,Medium
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Low,High
Static Code Analysis,Improper input validation leading to potential code injection.,Low,Low
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,Critical,Medium
Access Control,Bypassed access control to access restricted admin resources.,High,Critical
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Medium,High
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,High,Critical
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,Critical,Critical
Password Security,"No password complexity enforcement, allowing dictionary attacks.",Critical,Medium
Database Vulnerabilities,Detected default admin credentials in database configuration.,Low,Medium
Dynamic Analysis,Discovered reflected XSS vulnerability.,High,Critical
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Medium,Critical
Input Field Testing,Bypassed client-side validation using web proxies.,Medium,High
Reconnaissance,Found outdated software versions during recon phase.,Medium,Critical
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Low,Medium
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,High,High
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,Low,Medium
Static Code Analysis,Discovered weak encryption algorithm in use.,Low,Medium
Reconnaissance,Detected subdomains hosting vulnerable services.,Medium,Low
Reconnaissance,Gathered sensitive information such as server details and CMS version.,Critical,High
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,Medium,High
Reconnaissance,Found outdated software versions during recon phase.,High,Critical
Automated Scanning,Found insecure HTTP methods enabled.,Medium,Low
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,Medium,High
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,Low,Medium
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,Medium,Critical
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,High,Medium
Session Management,Session did not expire properly after logout.,Critical,Critical
Input Field Testing,Bypassed client-side validation using web proxies.,High,Medium
Static Code Analysis,Found API keys embedded in JavaScript files.,High,Low
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Critical,High
Static Code Analysis,Discovered weak encryption algorithm in use.,Medium,Critical
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,Critical,Low
Automated Scanning,Detected open ports with vulnerable services exposed.,High,Critical
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,Low,Low
Database Vulnerabilities,Discovered exposed database query logs.,High,Low
Dynamic Analysis,Exploited SQL Injection in user login form.,Medium,Medium
Input Field Testing,Tested for buffer overflow by entering large payloads.,Medium,Critical
Access Control,Bypassed access control to access restricted admin resources.,Low,Critical
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,Medium,High
Input Field Testing,Bypassed client-side validation using web proxies.,High,Critical
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Medium,High
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,Medium,Critical
Access Control,Exploited weak access control rules in API endpoints.,High,Low
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,Low,Critical
Input Field Testing,Bypassed client-side validation using web proxies.,High,Critical
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,High,Low
Static Code Analysis,Improper input validation leading to potential code injection.,Medium,High
Input Field Testing,"Injected JavaScript payloads, causing XSS.",Critical,High
Dynamic Analysis,Discovered reflected XSS vulnerability.,Critical,Medium
Session Management,Session did not expire properly after logout.,Low,Medium
Dynamic Analysis,Exploited SQL Injection in user login form.,High,Medium
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,Low,Low
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,Critical,Low
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,Medium,High
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Critical,Low
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,Medium,Low
Access Control,Bypassed access control to access restricted admin resources.,Low,Medium
Database Vulnerabilities,Discovered exposed database query logs.,High,High
Input Field Testing,Bypassed client-side validation using web proxies.,High,High
Session Management,Session fixation vulnerability found in login mechanism.,High,Critical
Static Code Analysis,Discovered weak encryption algorithm in use.,Critical,Medium
Session Management,Session fixation vulnerability found in login mechanism.,Medium,High
Database Vulnerabilities,Detected default admin credentials in database configuration.,Critical,Low
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Medium,Critical
XSS Testing,Injected script that executed on multiple user sessions.,Low,Low
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Medium,Medium
Session Management,Reused session ID for unauthorized access.,Low,High
Dynamic Analysis,Discovered reflected XSS vulnerability.,High,Medium
Database Vulnerabilities,Detected default admin credentials in database configuration.,High,Medium
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,Critical,Low
Session Management,Session did not expire properly after logout.,Low,Low
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,Medium,Low
Database Vulnerabilities,Discovered exposed database query logs.,Medium,Low
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Medium,Critical
